Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins
"BOOT1, RST1",2,SW_Push,SW_SPST_TL3342,,,,smt,,,
"C1, C10, C2, C5, C6",5,1u,C_0402_1005Metric,,,,smt,,,
"C11, C12, C13, C14, C15, C16, C7, C8",8,100n,C_0402_1005Metric,,,,smt,,,
"C3, C4",2,22p,C_0402_1005Metric,,,,smt,,,
C9,1,10u,C_0603_1608Metric,,,,smt,,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D81, D82, D83, D84, D85, D86, D87, D9",86,D,D_SOD-123,,,,smt,Diode,D,1=K 2=A
F1,1,Fuse_Small,Fuse_1206_3216Metric,,,,smt,,,
J1,1,Conn_01x04_Socket,MOLEX_781710004,,,,smt,"Generic connector, single row, 01x04, script generated",,
J2,1,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,,,,tht,,,
J3,1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,,smt,,,
"R1, R2, R3, R8, R9",5,5.1k,R_0402_1005Metric,,,,smt,,,
"R4, R5",2,1k,R_0402_1005Metric,,,,smt,,,
"R6, R7",2,27,R_0402_1005Metric,,,,smt,,,
SW1,1,SW_Push,SW_Hotswap_Kailh_MX_Plated_2.00u,,,,smt,"Push button switch, generic, two pins",,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW19, SW20, SW21, SW22, SW23, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW38, SW39, SW4, SW40, SW42, SW43, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW57, SW58, SW59, SW6, SW60, SW62, SW64, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW87, SW88, SW89, SW9, SW90",76,SW_Push,SW_Hotswap_Kailh_MX_Plated_1.00u,,,,smt,"Push button switch, generic, two pins",,
SW18,1,SW_Push,SW_Hotswap_Kailh_MX_Plated_6.25u,,,,smt,"Push button switch, generic, two pins",,
"SW24, SW37",2,SW_Push,SW_Hotswap_Kailh_MX_Plated_1.50u,,,,smt,"Push button switch, generic, two pins",,
SW41,1,SW_Push,SW_Hotswap_Kailh_MX_Plated_1.75u,,,,smt,"Push button switch, generic, two pins",,
"SW44, SW84, SW86",3,SW_Push,SW_Hotswap_Kailh_MX_Plated_1.25u,,,,smt,"Push button switch, generic, two pins",,
"SW56, SW61",2,SW_Push,SW_Hotswap_Kailh_MX_Plated_2.25u,,,,smt,"Push button switch, generic, two pins",,
SW91,1,SW_Push,Stabilizer_Cherry_MX_6.25u,,,,tht,"Push button switch, generic, two pins",,
SW92,1,SW_Push,Stabilizer_Cherry_MX_2.00u,,,,tht,"Push button switch, generic, two pins",,
SW96,1,SW_Push,SW_Hotswap_Kailh_MX_Plated_2.75u,,,,smt,"Push button switch, generic, two pins",,
U1,1,XC6206PxxxMR,SOT-23-3,,,,smt,,,
U2,1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,,,smt,,,
U3,1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,,,,smt,,,
U4,1,SRV05-4,SOT-23-6_Handsoldering,,,,smt,,,
Y1,1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,smt,,,
