pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
264.3915,-153.745,180.0,bottom,BOOT1,,,SW_SPST_TL3342,SW_Push,smt
199.4115,-134.505,180.0,bottom,C1,,,C_0402_1005Metric,1u,smt
226.0815,-160.115,180.0,bottom,C10,,,C_0402_1005Metric,1u,smt
237.3115,-160.805,0.0,bottom,C11,,,C_0402_1005Metric,100n,smt
225.0615,-165.555,-90.0,bottom,C12,,,C_0402_1005Metric,100n,smt
230.4415,-156.145,90.0,bottom,C13,,,C_0402_1005Metric,100n,smt
237.5515,-164.695,0.0,bottom,C14,,,C_0402_1005Metric,100n,smt
221.7715,-160.065,180.0,bottom,C15,,,C_0402_1005Metric,100n,smt
231.1715,-169.815,-90.0,bottom,C16,,,C_0402_1005Metric,100n,smt
204.2815,-138.125,90.0,bottom,C2,,,C_0402_1005Metric,1u,smt
237.3565,-173.1,90.0,bottom,C3,,,C_0402_1005Metric,22p,smt
232.7065,-173.78,-90.0,bottom,C4,,,C_0402_1005Metric,22p,smt
235.1215,-156.505,180.0,bottom,C5,,,C_0402_1005Metric,1u,smt
221.8015,-158.875,180.0,bottom,C6,,,C_0402_1005Metric,1u,smt
230.1215,-169.825,-90.0,bottom,C7,,,C_0402_1005Metric,100n,smt
231.5115,-156.145,90.0,bottom,C8,,,C_0402_1005Metric,100n,smt
214.6115,-159.195,180.0,bottom,C9,,,C_0603_1608Metric,10u,smt
72.3415,-93.5125,90.0,bottom,D1,,,D_SOD-123,D,smt
253.4815,-94.3125,90.0,bottom,D10,,,D_SOD-123,D,smt
272.4915,-94.2225,90.0,bottom,D11,,,D_SOD-123,D,smt
291.4015,-94.0925,90.0,bottom,D12,,,D_SOD-123,D,smt
310.6715,-94.4125,90.0,bottom,D13,,,D_SOD-123,D,smt
329.6115,-94.1225,90.0,bottom,D14,,,D_SOD-123,D,smt
348.6215,-94.2225,90.0,bottom,D15,,,D_SOD-123,D,smt
386.9215,-94.6525,90.0,bottom,D16,,,D_SOD-123,D,smt
248.9515,-171.905,90.0,bottom,D17,,,D_SOD-123,D,smt
415.4215,-94.2225,90.0,bottom,D18,,,D_SOD-123,D,smt
434.1015,-94.275,90.0,bottom,D19,,,D_SOD-123,D,smt
91.3815,-93.685,90.0,bottom,D2,,,D_SOD-123,D,smt
453.2115,-94.405,90.0,bottom,D20,,,D_SOD-123,D,smt
72.3715,-113.0425,90.0,bottom,D21,,,D_SOD-123,D,smt
91.4415,-113.0425,90.0,bottom,D22,,,D_SOD-123,D,smt
124.8915,-113.0925,90.0,bottom,D23,,,D_SOD-123,D,smt
148.7115,-113.2325,90.0,bottom,D24,,,D_SOD-123,D,smt
167.8315,-113.6225,90.0,bottom,D25,,,D_SOD-123,D,smt
186.7615,-113.3825,90.0,bottom,D26,,,D_SOD-123,D,smt
205.8815,-113.1325,90.0,bottom,D27,,,D_SOD-123,D,smt
224.8015,-113.4725,90.0,bottom,D28,,,D_SOD-123,D,smt
243.7315,-113.1825,90.0,bottom,D29,,,D_SOD-123,D,smt
119.9315,-94.6125,90.0,bottom,D3,,,D_SOD-123,D,smt
262.8015,-113.5725,90.0,bottom,D30,,,D_SOD-123,D,smt
281.8215,-113.305,90.0,bottom,D31,,,D_SOD-123,D,smt
301.1415,-113.6725,90.0,bottom,D32,,,D_SOD-123,D,smt
319.6815,-113.495,90.0,bottom,D33,,,D_SOD-123,D,smt
338.9915,-113.695,90.0,bottom,D34,,,D_SOD-123,D,smt
367.6115,-95.1925,90.0,bottom,D35,,,D_SOD-123,D,smt
